part_id,group_id,member_id,conf_cond,comm_cond,itemnum,grouping,resp,resp_rt,conf,conf_rt,correct_resp,resp_acc,item_mean,consensus,sex,education,eng_fl,age,trait_acc,trait_conf,eat_acc,eat_conf,rapm_acc,rapm_conf,agreeableness,conscientiousness,extraversion,intellect,neuroticism
101b,101,b,Low,Isolated,1,ind,1,8.914,50,3.288,2,FALSE,0.638095238,disagree,0,1,1,29,64.16666667,52.3,75,55,53.33333333,49.6,4.25,3.5,3,3.25,3.5
101b,101,b,Low,Isolated,1,grp,1,6.114,60,6.487,2,FALSE,0.628571429,disagree,0,1,1,29,64.16666667,52.3,75,55,53.33333333,49.6,4.25,3.5,3,3.25,3.5
101b,101,b,Low,Isolated,2,ind,1,22.014,50,2.943,1,TRUE,0.723809524,agree,0,1,1,29,64.16666667,52.3,75,55,53.33333333,49.6,4.25,3.5,3,3.25,3.5
101b,101,b,Low,Isolated,2,grp,1,6.8,50,7.767,1,TRUE,0.738095238,agree,0,1,1,29,64.16666667,52.3,75,55,53.33333333,49.6,4.25,3.5,3,3.25,3.5
101b,101,b,Low,Isolated,3,ind,1,10.285,60,18.02,1,TRUE,0.885714286,agree,0,1,1,29,64.16666667,52.3,75,55,53.33333333,49.6,4.25,3.5,3,3.25,3.5
101b,101,b,Low,Isolated,3,grp,1,1.873,50,4.295,1,TRUE,0.847619048,agree,0,1,1,29,64.16666667,52.3,75,55,53.33333333,49.6,4.25,3.5,3,3.25,3.5
101b,101,b,Low,Isolated,4,ind,1,9.052,50,3.603,1,TRUE,0.852380952,agree,0,1,1,29,64.16666667,52.3,75,55,53.33333333,49.6,4.25,3.5,3,3.25,3.5
101b,101,b,Low,Isolated,4,grp,1,6.096,60,3.489,1,TRUE,0.842857143,agree,0,1,1,29,64.16666667,52.3,75,55,53.33333333,49.6,4.25,3.5,3,3.25,3.5
101b,101,b,Low,Isolated,5,ind,1,28.422,50,2.454,2,FALSE,0.633333333,disagree,0,1,1,29,64.16666667,52.3,75,55,53.33333333,49.6,4.25,3.5,3,3.25,3.5
101b,101,b,Low,Isolated,5,grp,1,6.2,50,3.188,2,FALSE,0.671428571,disagree,0,1,1,29,64.16666667,52.3,75,55,53.33333333,49.6,4.25,3.5,3,3.25,3.5
101b,101,b,Low,Isolated,6,ind,2,14.843,50,2.851,1,FALSE,0.814285714,disagree,0,1,1,29,64.16666667,52.3,75,55,53.33333333,49.6,4.25,3.5,3,3.25,3.5
101b,101,b,Low,Isolated,6,grp,1,13.334,50,5.097,1,TRUE,0.819047619,agree,0,1,1,29,64.16666667,52.3,75,55,53.33333333,49.6,4.25,3.5,3,3.25,3.5
101b,101,b,Low,Isolated,7,ind,2,15.463,60,3.62,2,TRUE,0.70952381,agree,0,1,1,29,64.16666667,52.3,75,55,53.33333333,49.6,4.25,3.5,3,3.25,3.5
101b,101,b,Low,Isolated,7,grp,2,4.8,55,6.178,2,TRUE,0.70952381,agree,0,1,1,29,64.16666667,52.3,75,55,53.33333333,49.6,4.25,3.5,3,3.25,3.5
101b,101,b,Low,Isolated,8,ind,1,6.002,50,3.572,1,TRUE,0.747619048,disagree,0,1,1,29,64.16666667,52.3,75,55,53.33333333,49.6,4.25,3.5,3,3.25,3.5
101b,101,b,Low,Isolated,8,grp,1,16.265,50,NA,1,TRUE,0.766666667,disagree,0,1,1,29,64.16666667,52.3,75,55,53.33333333,49.6,4.25,3.5,3,3.25,3.5
101b,101,b,Low,Isolated,9,ind,1,22.261,50,2.963,1,TRUE,0.671428571,agree,0,1,1,29,64.16666667,52.3,75,55,53.33333333,49.6,4.25,3.5,3,3.25,3.5
101b,101,b,Low,Isolated,9,grp,1,0.495,50,NA,1,TRUE,0.676190476,disagree,0,1,1,29,64.16666667,52.3,75,55,53.33333333,49.6,4.25,3.5,3,3.25,3.5
101b,101,b,Low,Isolated,10,ind,1,9.987,75,2.748,2,FALSE,0.838095238,disagree,0,1,1,29,64.16666667,52.3,75,55,53.33333333,49.6,4.25,3.5,3,3.25,3.5
101b,101,b,Low,Isolated,10,grp,2,9.671,75,6.463,2,TRUE,0.833333333,agree,0,1,1,29,64.16666667,52.3,75,55,53.33333333,49.6,4.25,3.5,3,3.25,3.5
101a,101,a,Low,Isolated,1,ind,2,9.201,100,3.891,2,TRUE,0.638095238,disagree,0,1,1,18,53.33333333,49.80833333,40,29.75,66.66666667,69.86666667,4,1.25,4,4,3.25
101a,101,a,Low,Isolated,1,grp,2,0.701,100,3.969,2,TRUE,0.628571429,disagree,0,1,1,18,53.33333333,49.80833333,40,29.75,66.66666667,69.86666667,4,1.25,4,4,3.25
101a,101,a,Low,Isolated,2,ind,1,9.548,99,7.728,1,TRUE,0.723809524,agree,0,1,1,18,53.33333333,49.80833333,40,29.75,66.66666667,69.86666667,4,1.25,4,4,3.25
101a,101,a,Low,Isolated,2,grp,1,1.801,98,7.07,1,TRUE,0.738095238,agree,0,1,1,18,53.33333333,49.80833333,40,29.75,66.66666667,69.86666667,4,1.25,4,4,3.25
